case_id,alg_01,alg_02,alg_03,alg_04,alg_05
case_2454,0.8628,0.8235,0.882,0.8742,0.8143
case_2455,0.8186,0.8096,0.8414,0.871,0.8056
case_2456,0.7879,0.762,0.7611,0.7862,0.792
case_2457,0.7503,0.8092,0.8017,0.7795,0.7764
case_2458,0.7546,0.7977,0.813,0.7854,0.7606
case_2459,0.8092,0.7498,0.7761,0.7909,0.7995
case_2460,0.8375,0.8471,0.8298,0.8007,0.8065
case_2461,0.786,0.7871,0.8321,0.7894,0.7908
case_2462,0.831,0.8322,0.8103,0.8246,0.7898
case_2463,0.7396,0.7472,0.8002,0.748,0.7654
case_2464,0.7796,0.7776,0.8482,0.7819,0.7731
case_2465,0.8855,0.8916,0.8933,0.8872,0.8769
case_2466,0.7343,0.7309,0.7288,0.6992,0.717
case_2467,0.8936,0.9232,0.9274,0.8841,0.9204
case_2468,0.9039,0.9012,0.9265,0.9074,0.8868
case_2469,0.724,0.7489,0.7748,0.7682,0.7626
case_2470,0.7489,0.7761,0.8046,0.7869,0.8087
case_2471,0.828,0.822,0.8416,0.8302,0.8614
case_2472,0.8423,0.8783,0.8609,0.8531,0.8707
case_2473,0.8851,0.8696,0.8634,0.8402,0.8825
case_2474,0.7689,0.7833,0.7473,0.76,0.7249
case_2475,0.8641,0.8803,0.9188,0.8858,0.8849
case_2476,0.8197,0.8081,0.8467,0.8314,0.8115
case_2477,0.8369,0.7897,0.8496,0.8054,0.8341
case_2478,0.8323,0.8358,0.8858,0.8216,0.8666
case_2479,0.8378,0.8433,0.8435,0.8224,0.8401
case_2480,0.7,0.7023,0.7517,0.7181,0.699
case_2481,0.7316,0.7577,0.7573,0.7488,0.7423
case_2482,0.8297,0.8548,0.8704,0.8459,0.8543
case_2483,0.8688,0.9159,0.8828,0.8372,0.8889
case_2484,0.7531,0.7021,0.7323,0.7114,0.7174
case_2485,0.7486,0.7803,0.7748,0.7829,0.7201
case_2486,0.8129,0.7843,0.8338,0.8033,0.7939
case_2487,0.7347,0.723,0.7919,0.7683,0.7341
case_2488,0.7619,0.7866,0.7708,0.757,0.7838
case_2489,0.8701,0.8403,0.8724,0.8695,0.8401
case_2490,0.7377,0.7495,0.7385,0.7411,0.7235
case_2491,0.8424,0.8339,0.9019,0.8402,0.826
case_2492,0.7763,0.8093,0.8258,0.7574,0.792
case_2493,0.7991,0.7969,0.835,0.7799,0.8137
case_2494,0.7605,0.769,0.7676,0.77,0.7515
case_2495,0.7936,0.807,0.9005,0.8194,0.8704
case_2496,0.8967,0.8947,0.8653,0.8744,0.8971
case_2497,0.8382,0.7891,0.8368,0.8064,0.8043
case_2498,0.8317,0.8185,0.833,0.8697,0.8687
case_2499,0.7759,0.7527,0.8341,0.7701,0.7844
case_2500,0.8401,0.8635,0.847,0.8464,0.8428
case_2501,0.8223,0.839,0.834,0.8324,0.8015
case_2502,0.7483,0.7807,0.7826,0.7573,0.7657
case_2503,0.8082,0.7846,0.8226,0.7607,0.7832
case_2504,0.7951,0.8147,0.8171,0.8015,0.819
case_2505,0.8176,0.797,0.8231,0.7873,0.8219
case_2506,0.7203,0.76,0.7735,0.7338,0.7201
case_2507,0.769,0.7428,0.7875,0.7705,0.7662
case_2508,0.7557,0.7499,0.8376,0.803,0.7565
case_2509,0.7325,0.7467,0.7533,0.719,0.7523
case_2510,0.7221,0.7095,0.7384,0.7453,0.7143
case_2511,0.8967,0.904,0.9254,0.9017,0.9083
case_2512,0.7773,0.7819,0.801,0.7917,0.7886
case_2513,0.8108,0.7837,0.7798,0.779,0.816
case_2514,0.7173,0.7101,0.7381,0.6996,0.7156
case_2515,0.8051,0.8044,0.8206,0.8077,0.8283
case_2516,0.7332,0.7744,0.7917,0.7424,0.7256
case_2517,0.8407,0.8338,0.8521,0.822,0.8374
case_2518,0.6883,0.7178,0.7267,0.716,0.7399
case_2519,0.7882,0.8087,0.8344,0.7872,0.7988
case_2520,0.7349,0.6904,0.7551,0.6949,0.7142
case_2521,0.9182,0.8943,0.9648,0.9217,0.8865
case_2522,0.763,0.7422,0.7829,0.7655,0.7737
case_2523,0.7707,0.7321,0.7784,0.7518,0.7603
case_2524,0.7976,0.8132,0.8269,0.8104,0.8197
case_2525,0.8089,0.8437,0.8676,0.8742,0.8553
case_2526,0.7164,0.6734,0.6922,0.6786,0.6981
case_2527,0.82,0.8622,0.8357,0.8393,0.805
case_2528,0.8438,0.8565,0.8731,0.8469,0.854
case_2529,0.8293,0.8019,0.8382,0.8294,0.7893
case_2530,0.809,0.8518,0.7958,0.8195,0.8237
case_2531,0.8459,0.893,0.8945,0.887,0.8987
case_2532,0.834,0.8045,0.8297,0.828,0.8543
case_2533,0.7032,0.7,0.7343,0.7002,0.72
case_2534,0.8647,0.8564,0.8881,0.8319,0.8654
case_2535,0.6861,0.7189,0.7458,0.7398,0.7337
case_2536,0.7888,0.8011,0.8238,0.818,0.7869
case_2537,0.8239,0.8952,0.8913,0.8756,0.8498
case_2538,0.7688,0.77,0.7951,0.805,0.7753
case_2539,0.707,0.7273,0.7677,0.6654,0.7387
case_2540,0.791,0.8112,0.8059,0.7825,0.8091
case_2541,0.7777,0.7483,0.8266,0.7862,0.7866
case_2542,0.8072,0.8645,0.8524,0.8138,0.8638
case_2543,0.7236,0.803,0.7776,0.7907,0.7798
case_2544,0.847,0.8637,0.8368,0.83,0.8634
case_2545,0.8326,0.7936,0.8005,0.8072,0.7916
case_2546,0.8404,0.8838,0.8647,0.8471,0.8643
case_2547,0.7409,0.7364,0.7495,0.688,0.7109
case_2548,0.8274,0.8217,0.8592,0.857,0.884
case_2549,0.8043,0.8288,0.8076,0.8334,0.8189
case_2550,0.7759,0.7677,0.78,0.749,0.7792
case_2551,0.8065,0.7829,0.7858,0.7972,0.7911
case_2552,0.8972,0.8788,0.8966,0.8805,0.9181
case_2553,0.7426,0.7631,0.7875,0.7703,0.7105
case_2554,0.796,0.8441,0.8087,0.8096,0.8132
case_2555,0.7135,0.718,0.7463,0.7233,0.689
case_2556,0.8099,0.8697,0.8363,0.8162,0.8471
case_2557,0.795,0.7838,0.825,0.8156,0.8044
case_2558,0.7993,0.8039,0.8197,0.7757,0.816
case_2559,0.8754,0.8192,0.8641,0.8337,0.8235
case_2560,0.8979,0.8509,0.8543,0.8464,0.8653
case_2561,0.8625,0.8781,0.8578,0.8561,0.8357
case_2562,0.8085,0.7776,0.8536,0.8211,0.8223
case_2563,0.661,0.6918,0.6892,0.748,0.671
case_2564,0.867,0.8668,0.8772,0.8402,0.857
case_2565,0.7536,0.761,0.7735,0.7607,0.7892
case_2566,0.7582,0.7446,0.7764,0.7391,0.7378
case_2567,0.8377,0.8055,0.8073,0.8015,0.7767
case_2568,0.7761,0.7891,0.7547,0.7706,0.7724
case_2569,0.7668,0.7525,0.7656,0.7838,0.7398
case_2570,0.7184,0.7585,0.7415,0.7543,0.7424
case_2571,0.7252,0.6877,0.76,0.713,0.74
case_2572,0.8492,0.8671,0.9004,0.8579,0.8617
case_2573,0.8508,0.8422,0.8768,0.8379,0.8666
case_2574,0.7335,0.7639,0.743,0.7342,0.7239
case_2575,0.7945,0.7642,0.7752,0.7611,0.7709
case_2576,0.8965,0.8993,0.9525,0.9175,0.8942
case_2577,0.7348,0.7435,0.7666,0.7656,0.7205
case_2578,0.7542,0.7588,0.7906,0.8094,0.7948
case_2579,0.7137,0.7161,0.7187,0.6595,0.6926
case_2580,0.7528,0.7792,0.788,0.794,0.7594
case_2581,0.7862,0.8147,0.8131,0.7855,0.7843
case_2582,0.7035,0.7375,0.7434,0.7002,0.6791
case_2583,0.8431,0.7983,0.8542,0.826,0.7994
case_2584,0.8328,0.8544,0.8504,0.8657,0.8311
case_2585,0.7382,0.7085,0.7627,0.745,0.7269
case_2586,0.723,0.7204,0.731,0.6931,0.688
case_2587,0.7492,0.7683,0.8008,0.7875,0.7881
case_2588,0.8288,0.8201,0.8286,0.8363,0.8237
case_2589,0.885,0.8385,0.8375,0.8308,0.8388
case_2590,0.858,0.8043,0.9064,0.7936,0.8553
case_2591,0.8023,0.8159,0.8251,0.8256,0.8012
case_2592,0.8559,0.7986,0.8238,0.849,0.8276
case_2593,0.8087,0.7769,0.8129,0.796,0.793
case_2594,0.7657,0.7394,0.7777,0.7752,0.7941
case_2595,0.8089,0.8627,0.8846,0.8074,0.8075
case_2596,0.6718,0.6931,0.7268,0.7058,0.6903
case_2597,0.7124,0.6955,0.719,0.7218,0.7312
case_2598,0.8258,0.8491,0.8449,0.7958,0.8183
case_2599,0.864,0.8212,0.8266,0.8433,0.844
case_2600,0.7753,0.8122,0.795,0.7893,0.801
case_2601,0.7714,0.7599,0.7964,0.7825,0.7959
case_2602,0.8349,0.8087,0.8601,0.8053,0.8123
case_2603,0.7844,0.7749,0.7977,0.7763,0.7717
case_2604,0.869,0.8866,0.8748,0.8625,0.8847
case_2605,0.8128,0.7864,0.821,0.8037,0.7963
case_2606,0.827,0.8176,0.8523,0.8517,0.8508
case_2607,0.743,0.7682,0.7684,0.7721,0.7601
case_2608,0.7145,0.7388,0.7548,0.7108,0.7153
case_2609,0.8015,0.7624,0.7922,0.7936,0.7581
case_2610,0.7932,0.7371,0.7633,0.7448,0.738
case_2611,0.7999,0.8182,0.8576,0.8348,0.8667
case_2612,0.7724,0.7747,0.8023,0.7646,0.818
case_2613,0.843,0.8497,0.8338,0.8359,0.8111
case_2614,0.7451,0.7407,0.7318,0.7291,0.7596
case_2615,0.8017,0.821,0.8764,0.8228,0.841
case_2616,0.8812,0.8825,0.9105,0.8909,0.8603
case_2617,0.8459,0.8699,0.8839,0.8743,0.8356
case_2618,0.819,0.7754,0.8234,0.8158,0.8389
case_2619,0.8449,0.8904,0.9282,0.8856,0.9007
case_2620,0.8273,0.799,0.8473,0.7904,0.8335
case_2621,0.8339,0.857,0.8554,0.8317,0.8276
case_2622,0.8889,0.8786,0.9117,0.884,0.8994
case_2623,0.7146,0.7635,0.8005,0.7502,0.7716
case_2624,0.824,0.8039,0.8479,0.7984,0.8323
case_2625,0.7899,0.7622,0.8058,0.8105,0.7856
case_2626,0.8139,0.8442,0.8671,0.8125,0.825
case_2627,0.7687,0.7569,0.7861,0.7435,0.7954
case_2628,0.8503,0.8397,0.8485,0.844,0.8671
case_2629,0.8412,0.8424,0.8368,0.8229,0.8647
case_2630,0.7832,0.7689,0.8098,0.7672,0.7794
case_2631,0.8184,0.7768,0.8244,0.7971,0.8025
case_2632,0.8794,0.8928,0.8904,0.8863,0.8985
case_2633,0.6211,0.673,0.6629,0.6273,0.6497
case_2634,0.8068,0.8062,0.8264,0.8082,0.8191
case_2635,0.8687,0.8639,0.869,0.8701,0.8669
case_2636,0.7759,0.783,0.835,0.7805,0.7842
case_2637,0.8516,0.8597,0.875,0.8523,0.8341
case_2638,0.8106,0.8023,0.8275,0.8073,0.8099
case_2639,0.7722,0.7825,0.7994,0.7662,0.8066
case_2640,0.8292,0.8545,0.8784,0.8346,0.809
case_2641,0.8381,0.8038,0.8394,0.7838,0.8268
case_2642,0.8651,0.8483,0.879,0.8368,0.8684
case_2643,0.7951,0.7524,0.7952,0.7806,0.7829
case_2644,0.7511,0.7163,0.78,0.7328,0.7296
case_2645,0.7875,0.8097,0.8204,0.8389,0.7839
case_2646,0.8528,0.861,0.8803,0.8768,0.866
case_2647,0.7724,0.7596,0.7997,0.7556,0.7624
case_2648,0.8304,0.852,0.8583,0.8277,0.8328
case_2649,0.7592,0.7908,0.7705,0.7643,0.7771
case_2650,0.8978,0.9044,0.9404,0.8842,0.9026
case_2651,0.805,0.8288,0.8292,0.8561,0.8339
case_2652,0.8047,0.8218,0.8106,0.7941,0.7863
case_2653,0.6416,0.6294,0.7179,0.6759,0.6704
case_2654,0.7748,0.8256,0.7909,0.7714,0.7635
case_2655,0.8562,0.8614,0.8737,0.8552,0.8652
case_2656,0.7991,0.7807,0.8394,0.843,0.8005
case_2657,0.8175,0.849,0.8184,0.7869,0.8227
case_2658,0.9187,0.8993,0.9555,0.9083,0.8984
case_2659,0.7999,0.8275,0.8231,0.809,0.7932
case_2660,0.724,0.7224,0.7545,0.7614,0.7338
case_2661,0.7962,0.8021,0.7905,0.7745,0.7741
case_2662,0.7786,0.8061,0.82,0.7855,0.7793
case_2663,0.8395,0.8227,0.8519,0.8243,0.8499
case_2664,0.7408,0.7406,0.7725,0.7308,0.705
case_2665,0.8444,0.8531,0.8568,0.8176,0.822
case_2666,0.7834,0.7779,0.7916,0.8041,0.7949
case_2667,0.8871,0.8384,0.8989,0.8862,0.8687
case_2668,0.8031,0.7992,0.8718,0.8083,0.7954
case_2669,0.8984,0.8754,0.888,0.8686,0.8996
case_2670,0.8214,0.8595,0.9041,0.8274,0.8725
case_2671,0.7765,0.7163,0.7801,0.7561,0.7353
case_2672,0.7634,0.811,0.803,0.8018,0.8199
case_2673,0.8535,0.8382,0.8538,0.8336,0.8351
case_2674,0.7149,0.7184,0.7703,0.76,0.7432
case_2675,0.7957,0.8293,0.8421,0.7985,0.8055
case_2676,0.8551,0.8673,0.8759,0.8511,0.8682
case_2677,0.7751,0.8034,0.8393,0.8096,0.8128
case_2678,0.8596,0.836,0.8761,0.8643,0.8737
case_2679,0.8672,0.8671,0.8971,0.8505,0.8859
case_2680,0.7765,0.8034,0.8224,0.8143,0.7937
case_2681,0.7329,0.7492,0.7551,0.7635,0.7363
case_2682,0.742,0.7313,0.797,0.7199,0.7088
case_2683,0.7838,0.7743,0.7913,0.7833,0.8018
case_2684,0.869,0.8704,0.8893,0.9001,0.8852
case_2685,0.755,0.7911,0.8141,0.7777,0.8069
case_2686,0.6964,0.6924,0.7342,0.6661,0.6945
case_2687,0.8679,0.8772,0.8878,0.8952,0.8507
case_2688,0.6844,0.6859,0.7266,0.7437,0.7066
case_2689,0.7775,0.7681,0.8326,0.7723,0.8181
case_2690,0.6857,0.6645,0.7419,0.6888,0.7087
case_2691,0.7871,0.7932,0.8201,0.7974,0.8001
case_2692,0.8974,0.89,0.9253,0.9113,0.894
case_2693,0.7382,0.7369,0.7422,0.7332,0.7491
case_2694,0.7896,0.7943,0.8453,0.7639,0.8011
case_2695,0.7163,0.726,0.7383,0.7348,0.7373
case_2696,0.7831,0.7898,0.8217,0.8011,0.7869
case_2697,0.745,0.7664,0.7534,0.7456,0.7608
case_2698,0.8207,0.8106,0.854,0.8599,0.8285
case_2699,0.7763,0.7701,0.8082,0.7688,0.7948
case_2700,0.7999,0.8122,0.8902,0.8493,0.8501
case_2701,0.8395,0.8099,0.8795,0.7961,0.8122
case_2702,0.9209,0.8989,0.9533,0.9119,0.9228
case_2703,0.8271,0.8002,0.8119,0.8028,0.8173
case_2704,0.8017,0.7741,0.808,0.7993,0.817
case_2705,0.8194,0.8032,0.7997,0.8117,0.7673
case_2706,0.7937,0.8369,0.781,0.7899,0.8211
case_2707,0.7928,0.8602,0.8347,0.8139,0.846
case_2708,0.827,0.8006,0.8449,0.7998,0.8152
case_2709,0.7667,0.8145,0.8285,0.7809,0.8385
case_2710,0.76,0.7693,0.7679,0.7655,0.7415
case_2711,0.8078,0.8508,0.8547,0.826,0.8623
case_2712,0.7373,0.7641,0.7983,0.7408,0.7408
case_2713,0.9534,0.9235,0.9594,0.9336,0.9162
case_2714,0.7861,0.8391,0.8434,0.8469,0.7915
case_2715,0.7588,0.757,0.791,0.7315,0.7362
case_2716,0.7682,0.7583,0.7898,0.78,0.7509
case_2717,0.718,0.736,0.786,0.7678,0.7732
case_2718,0.8245,0.8315,0.8093,0.7809,0.8044
case_2719,0.8745,0.8686,0.8905,0.8459,0.8483
case_2720,0.8019,0.7958,0.8317,0.8081,0.8126
case_2721,0.8671,0.8792,0.8607,0.8743,0.8319
case_2722,0.7752,0.8025,0.8385,0.7798,0.7971
case_2723,0.8167,0.8215,0.8151,0.8195,0.8212
case_2724,0.8244,0.7971,0.8661,0.8214,0.8369
case_2725,0.8472,0.8726,0.8868,0.8478,0.8344
case_2726,0.7853,0.7698,0.8147,0.7979,0.7657
case_2727,0.7799,0.7687,0.8127,0.7556,0.7867
case_2728,0.8222,0.7962,0.8188,0.8352,0.8163
case_2729,0.7908,0.8193,0.803,0.7726,0.8233
case_2730,0.7815,0.7982,0.8478,0.8198,0.8084
case_2731,0.8166,0.8429,0.8293,0.8513,0.8312
case_2732,0.7635,0.8005,0.8289,0.8041,0.7983
case_2733,0.7283,0.7485,0.8083,0.7865,0.7581
case_2734,0.7595,0.7903,0.771,0.7393,0.7682
case_2735,0.7749,0.7732,0.8105,0.8233,0.7719
case_2736,0.8307,0.8487,0.8658,0.8463,0.8428
case_2737,0.7874,0.8089,0.8165,0.7847,0.8065
case_2738,0.7879,0.8193,0.8411,0.8065,0.771
case_2739,0.8436,0.8175,0.8779,0.8338,0.8402
case_2740,0.7406,0.7279,0.7622,0.7352,0.7687
case_2741,0.8821,0.867,0.8871,0.8906,0.8651
case_2742,0.7406,0.7781,0.7752,0.7722,0.7725
case_2743,0.7231,0.7678,0.7537,0.7437,0.7352
case_2744,0.757,0.7958,0.7968,0.7632,0.7886
case_2745,0.7667,0.7804,0.8051,0.8066,0.7969
case_2746,0.757,0.7725,0.7972,0.7674,0.7557
case_2747,0.7835,0.7919,0.8151,0.7734,0.7681
case_2748,0.8083,0.8145,0.8257,0.7836,0.7913
case_2749,0.7843,0.7737,0.7616,0.7567,0.7893
case_2750,0.8421,0.7843,0.8665,0.8396,0.7971
case_2751,0.793,0.7596,0.7868,0.7449,0.7821
case_2752,0.7759,0.7797,0.8073,0.7843,0.7944
case_2753,0.6764,0.6785,0.7181,0.689,0.6931
case_2754,0.7874,0.823,0.8288,0.8147,0.8107
case_2755,0.8668,0.8294,0.8594,0.7988,0.8643
case_2756,0.8453,0.8174,0.8344,0.8218,0.8466
case_2757,0.7548,0.7238,0.738,0.7391,0.7116
case_2758,0.7401,0.7739,0.7702,0.7484,0.7428
case_2759,0.8153,0.8088,0.831,0.787,0.8523
case_2760,0.7916,0.7703,0.7908,0.7711,0.7824
case_2761,0.7487,0.757,0.7562,0.7585,0.755
case_2762,0.7368,0.7589,0.8089,0.7703,0.7734
case_2763,0.8096,0.818,0.851,0.8329,0.8221
case_2764,0.7887,0.8182,0.7804,0.81,0.7965
case_2765,0.7513,0.7365,0.7747,0.765,0.7705
case_2766,0.7666,0.782,0.8149,0.8074,0.7632
case_2767,0.8596,0.873,0.9114,0.8854,0.8773
case_2768,0.8409,0.8077,0.8492,0.8357,0.8656
case_2769,0.8463,0.8691,0.8866,0.8711,0.8561
case_2770,0.826,0.8273,0.8592,0.8584,0.8106
case_2771,0.7807,0.7985,0.821,0.7669,0.8146
case_2772,0.832,0.8512,0.8982,0.853,0.8066
case_2773,0.8814,0.8723,0.9266,0.9015,0.8685
case_2774,0.6981,0.7362,0.76,0.7018,0.6955
case_2775,0.8129,0.7943,0.8369,0.8282,0.8097
case_2776,0.8488,0.8544,0.8752,0.8544,0.8937
case_2777,0.8164,0.8426,0.8463,0.814,0.8083
case_2778,0.7632,0.7421,0.7546,0.7307,0.7287
case_2779,0.8501,0.8811,0.8911,0.8631,0.9066
case_2780,0.7386,0.7662,0.7461,0.7735,0.7402
case_2781,0.8421,0.8117,0.8359,0.8393,0.823
case_2782,0.7566,0.7977,0.7902,0.7937,0.7891
case_2783,0.8711,0.8681,0.8682,0.8348,0.8547
case_2784,0.8793,0.8682,0.9309,0.8831,0.8694
case_2785,0.8116,0.7821,0.8374,0.8124,0.8336
case_2786,0.796,0.814,0.8218,0.8338,0.8369
case_2787,0.8045,0.7932,0.7793,0.8128,0.7864
case_2788,0.8503,0.8599,0.8765,0.8799,0.8636
case_2789,0.7734,0.8083,0.8654,0.7998,0.8095
case_2790,0.7647,0.7472,0.8055,0.7686,0.7897
case_2791,0.7096,0.7282,0.7602,0.7258,0.7303
case_2792,0.8216,0.8299,0.8771,0.8457,0.8196
case_2793,0.8253,0.8106,0.7975,0.8236,0.7966
case_2794,0.7928,0.8071,0.8039,0.7963,0.8313
case_2795,0.8268,0.8553,0.9055,0.8405,0.8734
case_2796,0.8314,0.8606,0.8516,0.8333,0.8103
case_2797,0.805,0.768,0.7891,0.7817,0.7759
case_2798,0.8105,0.8093,0.8686,0.8122,0.8455
case_2799,0.8293,0.8133,0.8662,0.817,0.8397
case_2800,0.8192,0.8117,0.8428,0.8369,0.8054
case_2801,0.7626,0.7265,0.794,0.746,0.7508
case_2802,0.7673,0.7622,0.7695,0.7823,0.7641
case_2803,0.7924,0.7996,0.8488,0.7968,0.8098
case_2804,0.8009,0.8366,0.8214,0.8187,0.795
case_2805,0.8792,0.8766,0.8786,0.8581,0.8767
case_2806,0.7977,0.7793,0.7852,0.7466,0.8006
case_2807,0.6961,0.6928,0.7303,0.6712,0.6731
case_2808,0.8253,0.7678,0.8423,0.7955,0.8213
case_2809,0.8092,0.7969,0.8153,0.8259,0.8006
case_2810,0.7636,0.7985,0.805,0.7627,0.7831
case_2811,0.839,0.8213,0.8455,0.862,0.8393
case_2812,0.8162,0.7577,0.8307,0.7954,0.8084
case_2813,0.8576,0.8555,0.8518,0.8628,0.849
case_2814,0.8831,0.9086,0.8984,0.8903,0.8743
case_2815,0.73,0.7379,0.7365,0.729,0.7325
case_2816,0.6536,0.6769,0.7109,0.6463,0.6658
case_2817,0.7921,0.8133,0.8252,0.795,0.7815
case_2818,0.8525,0.8376,0.8763,0.8755,0.8421
case_2819,0.7186,0.7419,0.7748,0.6967,0.7174
case_2820,0.8623,0.8401,0.875,0.846,0.8269
case_2821,0.6899,0.6826,0.7047,0.704,0.6845
case_2822,0.7872,0.8377,0.8576,0.8221,0.8317
case_2823,0.8105,0.8063,0.8151,0.7962,0.7965
case_2824,0.7864,0.7775,0.8152,0.8067,0.7954
case_2825,0.7515,0.793,0.7688,0.7457,0.7518
case_2826,0.8564,0.8621,0.8714,0.8398,0.8941
case_2827,0.8629,0.8299,0.8928,0.8637,0.8411
case_2828,0.7938,0.8438,0.8323,0.7942,0.8632
case_2829,0.7261,0.7146,0.7314,0.6729,0.722
case_2830,0.7868,0.7652,0.7882,0.7686,0.788
case_2831,0.7773,0.7815,0.7955,0.7813,0.7736
case_2832,0.7339,0.774,0.7657,0.7449,0.7795
case_2833,0.7952,0.8076,0.8477,0.7788,0.7912
case_2834,0.7862,0.7928,0.797,0.7857,0.8087
case_2835,0.8494,0.8402,0.8517,0.8252,0.7924
case_2836,0.877,0.8742,0.9262,0.9104,0.8414
case_2837,0.7584,0.7821,0.7935,0.7535,0.7819
case_2838,0.7542,0.7558,0.7704,0.7666,0.7521
case_2839,0.8941,0.8329,0.8564,0.8803,0.8865
case_2840,0.823,0.7999,0.8684,0.8229,0.8691
case_2841,0.7761,0.7885,0.8235,0.7601,0.7763
case_2842,0.817,0.8367,0.8258,0.7969,0.8347
case_2843,0.8182,0.7832,0.8338,0.7844,0.8044
case_2844,0.8344,0.8415,0.8634,0.8662,0.8456
case_2845,0.7383,0.742,0.7479,0.7268,0.751
case_2846,0.7572,0.7085,0.7884,0.7315,0.7132
case_2847,0.8506,0.8612,0.8937,0.8958,0.9245
case_2848,0.8538,0.8593,0.9306,0.8448,0.8501
case_2849,0.7636,0.7451,0.763,0.7533,0.7903
case_2850,0.8141,0.8486,0.8831,0.8389,0.8646
case_2851,0.7482,0.7519,0.7906,0.7858,0.7951
case_2852,0.7917,0.8382,0.8151,0.8198,0.7905
case_2853,0.7931,0.8106,0.7925,0.8271,0.7814
case_2854,0.8214,0.8072,0.8289,0.8227,0.8286
case_2855,0.8537,0.8026,0.8212,0.7876,0.8209
case_2856,0.8154,0.8035,0.8422,0.8349,0.8159
case_2857,0.7772,0.812,0.8248,0.8142,0.7653
case_2858,0.7524,0.7429,0.8012,0.7123,0.7618
case_2859,0.7769,0.7906,0.8063,0.7855,0.7891
case_2860,0.7772,0.8075,0.7962,0.7813,0.7976
case_2861,0.733,0.7444,0.7785,0.7158,0.7207
case_2862,0.9263,0.9067,0.9835,0.9785,0.9214
case_2863,0.7911,0.8068,0.8712,0.8196,0.84
case_2864,0.8382,0.812,0.8601,0.8605,0.8322
case_2865,0.7601,0.7927,0.76,0.7623,0.77
case_2866,0.7951,0.783,0.8488,0.7993,0.8139
case_2867,0.8001,0.8156,0.8418,0.845,0.852
case_2868,0.8544,0.8681,0.8614,0.841,0.8595
case_2869,0.8326,0.801,0.7729,0.7945,0.7843
case_2870,0.9201,0.8916,0.9267,0.9282,0.8964
case_2871,0.7785,0.7404,0.7742,0.7947,0.7733
case_2872,0.7506,0.7279,0.7801,0.7721,0.753
case_2873,0.7776,0.7927,0.7957,0.8146,0.8271
case_2874,0.6466,0.6565,0.682,0.6551,0.6648
case_2875,0.9479,0.9294,0.9645,0.9065,0.8966
case_2876,0.8736,0.8614,0.9288,0.893,0.8621
case_2877,0.7211,0.7607,0.7658,0.738,0.7234
case_2878,0.7783,0.7634,0.7983,0.7687,0.7574
case_2879,0.8072,0.8082,0.8175,0.837,0.8432
case_2880,0.8031,0.8094,0.8569,0.813,0.8605
case_2881,0.8383,0.8311,0.8301,0.8013,0.8095
case_2882,0.7455,0.7458,0.7871,0.7776,0.7389
case_2883,0.8312,0.8226,0.868,0.8133,0.8194
case_2884,0.764,0.8277,0.8517,0.7995,0.816
case_2885,0.7802,0.7489,0.7736,0.779,0.7759
case_2886,0.7392,0.7166,0.7427,0.7322,0.7658
case_2887,0.7671,0.7957,0.8609,0.7724,0.8046
case_2888,0.8562,0.862,0.8776,0.8516,0.854
case_2889,0.8266,0.8476,0.8495,0.836,0.8364
case_2890,0.7906,0.8011,0.8144,0.8187,0.8056
case_2891,0.9052,0.8709,0.8845,0.8689,0.889
case_2892,0.8672,0.8167,0.881,0.8558,0.8952
case_2893,0.8361,0.8572,0.8749,0.8471,0.8479
case_2894,0.8215,0.8461,0.8518,0.8454,0.8325
case_2895,0.7452,0.7612,0.7776,0.755,0.7648
case_2896,0.8704,0.8861,0.8875,0.8405,0.8776
case_2897,0.8447,0.8939,0.8805,0.8559,0.9039
case_2898,0.8227,0.8243,0.8665,0.8194,0.8286
case_2899,0.8199,0.8348,0.8215,0.7974,0.7849
case_2900,0.7741,0.753,0.8062,0.7452,0.7377
case_2901,0.8343,0.8362,0.8777,0.8374,0.8826
case_2902,0.8195,0.8191,0.8393,0.7936,0.8165
case_2903,0.7096,0.7576,0.7554,0.7145,0.7207
case_2904,0.7429,0.7645,0.7885,0.7252,0.7383
case_2905,0.7911,0.8068,0.8141,0.7817,0.8433
case_2906,0.7747,0.7737,0.8018,0.7879,0.789
case_2907,0.7733,0.7779,0.8366,0.7749,0.7772
case_2908,0.7999,0.7806,0.8328,0.7644,0.7705
case_2909,0.693,0.6976,0.7373,0.7139,0.6983
case_2910,0.8535,0.8373,0.8397,0.8394,0.8345
case_2911,0.8052,0.7915,0.8348,0.8115,0.8245
case_2912,0.779,0.745,0.7971,0.7977,0.7739
case_2913,0.8339,0.88,0.8826,0.8433,0.8852
case_2914,0.7718,0.7889,0.8038,0.7923,0.7877
case_2915,0.8898,0.9222,0.9044,0.8836,0.9149
case_2916,0.7752,0.8137,0.8151,0.7821,0.7901
case_2917,0.818,0.8286,0.8414,0.8205,0.776
case_2918,0.8702,0.8447,0.8501,0.8374,0.8216
case_2919,0.8177,0.823,0.8735,0.8289,0.8275
case_2920,0.7711,0.7583,0.7864,0.755,0.7482
case_2921,0.7956,0.7777,0.7899,0.8106,0.8051
case_2922,0.8287,0.8649,0.8798,0.8743,0.8516
case_2923,0.7729,0.8047,0.8138,0.7691,0.7611
case_2924,0.8409,0.8438,0.8771,0.8485,0.8552
case_2925,0.7676,0.795,0.808,0.7702,0.771
case_2926,0.6935,0.6955,0.713,0.667,0.6904
case_2927,0.8125,0.8223,0.8376,0.8331,0.8439
